station,scale_file,camera,match_pattern,pixels_per_mm,scale_size_mm,scale_size_pixels,scale_label
green,NikonD5100_10x_P1.tif,Nikon,10x_P1,3122,0.1,312.2,100 µm
green,NikonD5100_10x_P2.tif,Nikon,10x_P2,3134,0.1,313.4,100 µm
green,NikonD5100_10x_P3.tif,Nikon,10x_P3,3126,0.1,312.6,100 µm
green,NikonD5100_5x_P1.tif,Nikon,5x_P1,1504,0.5,752,500 µm
green,NikonD5100_5x_P2.tif,Nikon,5x_P2,1536,0.5,768,500 µm
green,NikonD5100_5x_P3.tif,Nikon,5x_P3,1557,0.5,778.5,500 µm
green,NikonD5100_CF2_P1.tif,Nikon,CF2_P1,238.8,1,238.8,1 mm
green,NikonD5100_CF2_P2.tif,Nikon,CF2_P2,336,1,336,1 mm
green,NikonD5100_CF2_P3.tif,Nikon,CF2_P3,416.6,1,416.6,1 mm
green,NikonD5100_CF3_P1.tif,Nikon,CF3_P1,504,1,504,1 mm
green,NikonD5100_CF3_P2.tif,Nikon,CF3_P2,862.5,0.5,431.25,500 µm
green,NikonD5100_CF3_P3.tif,Nikon,CF3_P3,703.5,0.5,351.75,500 µm
green,NikonD5100_CF4_P1.tif,Nikon,CF4_P1,784,1,784,1 mm
green,NikonD5100_CF4_P2.tif,Nikon,CF4_P2,912.3333333,0.5,456.1666667,500 µm
green,NikonD5100_CF4_P3.tif,Nikon,CF4_P3,1016,0.5,508,500 µm
purple,Canon6D_5x_P1.tif,Canon,5x_P1,1092.5,0.5,546.25,500 µm
purple,Canon6D_5x_P2.tif,Canon,5x_P2,1117,0.5,558.5,500 µm
purple,Canon6D_5x_P3.tif,Canon,5x_P3,1138.666667,0.5,569.3333333,500 µm
purple,Canon6D_10x_P1.tif,Canon,10x_P1,2280,0.1,228,100 µm
purple,Canon6D_10x_P2.tif,Canon,10x_P2,2281,0.1,228.1,100 µm
purple,Canon6D_10x_P3.tif,Canon,10x_P3,2287,0.1,228.7,100 µm
purple,Canon6D_CF2_P1.tif,Canon,CF2_P1,174.8,1,174.8,1 mm
purple,Canon6D_CF2_P2.tif,Canon,CF2_P2,237.3,1,237.3,1 mm
purple,Canon6D_CF2_P3.tif,Canon,CF2_P3,301.4,1,301.4,1 mm
purple,Canon6D_CF3_P1.tif,Canon,CF3_P1,277.6,1,277.6,1 mm
purple,Canon6D_CF3_P2.tif,Canon,CF3_P2,296.375,1,296.375,1 mm
purple,Canon6D_CF3_P3.tif,Canon,CF3_P3,405.6,1,405.6,1 mm
purple,Canon6D_CF4_P1.tif,Canon,CF4_P1,575,1,575,1 mm
purple,Canon6D_CF4_P2.tif,Canon,CF4_P2,654,1,654,1 mm
purple,Canon6D_CF4_P3.tif,Canon,CF4_P3,740.3333333,1,740.3333333,1 mm
